personId,PlayerName,total_minutes_2018_2024
1629644,KZ Okpala,965
1631260,AJ Green,959
1631172,Ousmane Dieng,934
1629677,Luka Samanic,922
1630547,James Bouknight,901
1631207,Dalen Terry,895
1629646,Charles Bassey,881
1641715,Cam Whitmore,880
1641707,Taylor Hendricks,856
1628393,Jawun Evans,842
1629649,Ignas Brazdeikis,838
1630233,Nathan Knight,837
203710,C.J. Williams,835
1631230,Dominick Barlow,827
1641767,Ben Sheppard,814
1631132,Christian Koloko,802
1630535,Greg Brown III,773
1630568,Luka Garza,754
1630231,KJ Martin,746
1628424,Kobi Simmons,740
1631367,Jacob Gilyard,739
1631115,Orlando Robinson,729
1641733,Nick Smith Jr.,729
1628962,Udoka Azubuike,723
1630346,Matt Ryan,706
1629035,Carsen Edwards,705
1629076,Tyler Cook,691
1629610,DaQuan Jeffries,689
1628413,Jonah Bolden,686
1629671,Miye Oni,673
1630592,Jalen Wilson,665
1629658,Jaylen Hoard,662
1628403,Caleb Swanigan,655
1641854,Craig Porter Jr.,649
1629681,Killian Tillie,642
1628443,Kadeem Allen,640
1629151,Ryan Broekhoff,634
1641712,Rayan Rupert,633
1630846,Olivier Sarr,633
1628980,Jacob Evans,622
1630561,David Duke Jr.,620
1630539,Kai Jones,612
1630548,Johnny Juzang,604
1629126,Deonte Burton,603
1630531,Jaden Springer,602
1641729,Brice Sensabaugh,584
203464,Brandon Paul,576
1641998,Trey Jemison,574
1641748,Andre Jackson Jr.,572
1628993,Alize Johnson,568
1626208,Keifer Sykes,566
1628515,Isaiah Briscoe,559
1630590,Scotty Pippen Jr.,558
1628463,Tyler Cavanaugh,558
1629140,Johnathan Williams,552
1630551,Justin Champagnie,550
1631124,Julian Strawther,545
1629713,Justin James,543
1628778,Paul Watson,540
1629735,Chris Silva,533
1629603,Mamadi Diakite,529
1629058,Dzanan Musa,527
1628426,Sasha Vezenkov,511
1630273,Freddie Gillespie,511
1630288,Jeff Dowtin Jr.,509
1628476,Derrick Walton Jr.,504
1631288,Jamal Cain,499
1630190,Elijah Hughes,498
1631116,Patrick Baldwin Jr.,494
1631102,TyTy Washington Jr.,489
1627824,Guerschon Yabusele,486
1629741,Marko Guduric,484
1629674,Neemias Queta,482
1627858,Kyle Collinsworth,480
1631303,Justin Minaya,470
1630284,Kevon Harris,463
1630271,Brodric Thomas,459
1629121,Jaylen Adams,446
1628394,Anzejs Pasecniks,443
1631197,Jared Rhoden,443
1629620,Justin Robinson,440
1628417,Jaron Blossomgame,439
1629657,Kyle Guy,431
1629833,Keljin Blevins,424
1630639,A.J. Lawson,419
1629007,Jontay Porter,414
1630222,Mason Jones,413
1631311,Lester Quinones,413
1629017,Khyri Thomas,410
1629718,Charlie Brown Jr.,407
1629682,Tremont Waters,407
1631241,Javon Freeman-Liberty,403
1629617,Reggie Perry,398
1627883,Jalen Jones,396
1641738,Kobe Brown,394
