draft_year,Rk,Pk,Tm,Player,College,Yrs,G,MP_total,PTS_total,TRB_total,AST_total,FG_pct,3P_pct,FT_pct,MP_per_game,PTS_per_game,TRB_per_game,AST_per_game,WS,WS_per48,BPM,VORP
1951,12.0,12.0,TRI,Bill Gossett,Colorado State,,,,,,,,,,,,,,,,,
1951,13.0,13.0,INO,Scotty Steagall,Millikin University,,,,,,,,,,,,,,,,,
1951,14.0,14.0,FTW,Jack Kiley,Syracuse,2.0,53.0,504.0,124.0,51.0,65.0,0.227,,0.571,9.5,2.3,1.0,1.2,-1.8,-0.175,,
1951,15.0,15.0,SYR,Don Savage,LeMoyne College,2.0,17.0,173.0,54.0,31.0,14.0,0.242,,0.686,10.2,3.2,1.8,0.8,-0.1,-0.029,,
1951,16.0,16.0,NYK,Roland Minson,BYU,,,,,,,,,,,,,,,,,
1951,17.0,17.0,BOS,Bill Garrett,Indiana,,,,,,,,,,,,,,,,,
1951,18.0,18.0,ROC,Ray Ragelis,Northwestern,1.0,51.0,337.0,68.0,76.0,31.0,0.26,,0.621,6.6,1.3,1.5,0.6,-0.4,-0.059,,
1951,19.0,19.0,PHW,Mel Payton,Tulane,2.0,111.0,1895.0,595.0,396.0,126.0,0.363,,0.746,17.1,5.4,3.6,1.1,2.5,0.062,,
1951,20.0,20.0,MNL,Lew Hitch,Kansas State,6.0,414.0,8364.0,2075.0,2183.0,499.0,0.376,,0.674,20.2,5.0,5.3,1.2,15.1,0.087,,
1951,21.0,21.0,BLB,Bill Mann,Bradley,,,,,,,,,,,,,,,,,
1951,22.0,22.0,TRI,Ron Bontemps,Beloit College,,,,,,,,,,,,,,,,,
1951,23.0,23.0,INO,Glenn Kammeyer,Central Missouri State University,,,,,,,,,,,,,,,,,
1951,24.0,24.0,FTW,Jake Fendley,Northwestern,2.0,103.0,1031.0,287.0,126.0,94.0,0.344,,0.742,10.0,2.8,1.2,0.9,2.1,0.097,,
1951,25.0,25.0,SYR,Bato Govedarica,DePaul,1.0,23.0,258.0,75.0,18.0,24.0,0.316,,0.676,11.2,3.3,0.8,1.0,0.2,0.044,,
1951,26.0,26.0,NYK,Joe Luchi,Cincinnati,,,,,,,,,,,,,,,,,
1951,27.0,27.0,BOS,John Furlong,Pepperdine,,,,,,,,,,,,,,,,,
1951,28.0,28.0,ROC,Fred Diute,St. Bonaventure,1.0,7.0,72.0,11.0,13.0,4.0,0.095,,0.583,10.3,1.6,1.9,0.6,-0.3,-0.204,,
1951,29.0,29.0,PHW,Bob Schloss,Georgia,,,,,,,,,,,,,,,,,
1951,30.0,30.0,MNL,Bob Payne,Oregon State,,,,,,,,,,,,,,,,,
1951,31.0,31.0,BLB,Bill Hagler,California,,,,,,,,,,,,,,,,,
1951,32.0,32.0,TRI,Jim Slaughter,South Carolina,1.0,28.0,525.0,147.0,148.0,25.0,0.321,,0.603,18.8,5.3,5.3,0.9,-0.1,-0.01,,
1951,33.0,33.0,INO,Bill Tosheff,Indiana,3.0,203.0,6339.0,1859.0,608.0,661.0,0.315,,0.793,31.2,9.2,3.0,3.3,5.2,0.039,,
1951,34.0,34.0,FTW,Herb Hargett,Mississippi State,,,,,,,,,,,,,,,,,
