category,start_year,end_year,divergence,n_matched_ages,divergence_smoothed
AST_per36,1967,1981,0.12088537114769266,14,0.10319710870946057
AST_per36,1968,1982,0.1222967762809419,14,0.125110261030468
AST_per36,1969,1983,0.1299169083625571,14,0.12481507066218353
AST_per36,1970,1984,0.13352894278637617,14,0.12501605802502183
AST_per36,1971,1985,0.11744735473334988,14,0.1216770875178177
AST_per36,1972,1986,0.12189030796188406,14,0.11273916405012234
AST_per36,1973,1987,0.10560192374492118,14,0.09626261511064721
AST_per36,1974,1988,0.08522729102408033,14,0.08237236737103855
AST_per36,1975,1989,0.05114619808900056,14,0.06858777840097127
AST_per36,1976,1990,0.04799611603530664,14,0.05881165000906774
AST_per36,1977,1991,0.05296736311154766,14,0.04872670306284764
AST_per36,1978,1992,0.056721281785403525,15,0.043429065694874446
AST_per36,1979,1993,0.03480255629297979,15,0.03724512505770895
AST_per36,1980,1994,0.024658011249134606,15,0.03147804952660578
AST_per36,1981,1995,0.017076412849479184,15,0.030265322808319582
AST_per36,1982,1996,0.02413198545603179,15,0.03153257161985522
AST_per36,1983,1997,0.050657648193972546,16,0.03442370812954656
AST_per36,1984,1998,0.041138800350657964,16,0.04546620060409633
AST_per36,1985,1999,0.03911369379759134,16,0.054540958101922075
AST_per36,1986,2000,0.07228887522222797,18,0.052776513095460977
AST_per36,1987,2001,0.06950577294516058,18,0.06688540422927126
AST_per36,1988,2002,0.04183542316166701,18,0.08279032640985003
AST_per36,1989,2003,0.11168325601970941,19,0.08541568920675553
AST_per36,1990,2004,0.11863830470048514,20,0.09071899462728718
STL_per36,1955,1969,,0,
STL_per36,1956,1970,,0,
STL_per36,1957,1971,,0,
STL_per36,1958,1972,,0,
STL_per36,1959,1973,,0,
STL_per36,1960,1974,,0,
STL_per36,1961,1975,0.04097789827051192,2,0.15634905565597207
STL_per36,1962,1976,0.16574236238592366,8,0.17953863845409956
STL_per36,1963,1977,0.26232690631148065,10,0.1896783963091672
STL_per36,1964,1978,0.249107386848482,11,0.22452153237524103
STL_per36,1965,1979,0.23023742772943778,12,0.22538497212813552
STL_per36,1966,1980,0.215193578600881,13,0.20799292245642093
STL_per36,1967,1981,0.1700595611503962,13,0.19802604856706627
