category,age,delta_to_next,cumulative_z,is_extrapolated,n,fit_start_year,fit_end_year
AST_per36,38,-0.02590747442260291,-0.3087559828809513,False,46.0,1963,2024
AST_per36,39,-0.04447921941062675,-0.3346634573035542,True,,1963,2024
AST_per36,40,-0.031135453587438723,-0.37914267671418095,True,,1963,2024
AST_per36,41,-0.021794817511207105,-0.4102781303016197,True,,1963,2024
AST_per36,42,-0.015256372257844973,-0.4320729478128268,True,,1963,2024
AST_per36,43,-0.010679460580491481,-0.4473293200706718,True,,1963,2024
AST_per36,44,-0.007475622406344036,-0.45800878065116324,True,,1963,2024
AST_per36,45,-0.0052329356844408245,-0.46548440305750727,True,,1963,2024
TS_pct,18,0.18692949308620152,-0.9186111112683834,True,,1961,2024
TS_pct,19,0.24596547873285046,-0.7316816181821818,False,101.0,1961,2024
TS_pct,20,0.1827862810752888,-0.48571613944933134,False,254.0,1961,2024
TS_pct,21,0.30292985837404257,-0.30292985837404257,False,486.0,1961,2024
TS_pct,22,0.1843776143182772,0.0,False,1277.0,1961,2024
TS_pct,23,-0.010777714930122174,0.1843776143182772,False,1758.0,1961,2024
TS_pct,24,-0.03260446631682734,0.17359989938815504,False,1737.0,1961,2024
TS_pct,25,-0.09705611451678461,0.1409954330713277,False,1630.0,1961,2024
TS_pct,26,-0.1496113611151486,0.04393931855454308,False,1527.0,1961,2024
TS_pct,27,-0.1286265351283493,-0.10567204256060553,False,1403.0,1961,2024
TS_pct,28,-0.09394109620555799,-0.23429857768895482,False,1253.0,1961,2024
TS_pct,29,-0.25835630975870505,-0.3282396738945128,False,1121.0,1961,2024
TS_pct,30,-0.2905238081557471,-0.5865959836532179,False,970.0,1961,2024
TS_pct,31,-0.14052290195814776,-0.8771197918089649,False,797.0,1961,2024
TS_pct,32,-0.45381593484629423,-1.0176426937671126,False,618.0,1961,2024
TS_pct,33,-0.22946980966088215,-1.4714586286134068,False,451.0,1961,2024
TS_pct,34,-0.20882556316199002,-1.700928438274289,False,317.0,1961,2024
TS_pct,35,-0.3767221798167836,-1.909754001436279,False,205.0,1961,2024
TS_pct,36,-0.5966026317576669,-2.2864761812530627,False,134.0,1961,2024
TS_pct,37,-0.19106646517516765,-2.8830788130107297,False,82.0,1961,2024
TS_pct,38,0.06931180838316382,-3.074145278185897,False,46.0,1961,2024
TS_pct,39,-0.16761670066158982,-3.0048334698027332,True,,1961,2024
TS_pct,40,-0.11733169046311287,-3.172450170464323,True,,1961,2024
TS_pct,41,-0.082132183324179,-3.289781860927436,True,,1961,2024
TS_pct,42,-0.05749252832692529,-3.371914044251615,True,,1961,2024
TS_pct,43,-0.040244769828847705,-3.4294065725785403,True,,1961,2024
TS_pct,44,-0.02817133888019339,-3.469651342407388,True,,1961,2024
TS_pct,45,-0.019719937216135373,-3.4978226812875812,True,,1961,2024
TOV_per36,18,-0.2862512473922256,0.6709944739355767,True,,1970,2024
TOV_per36,19,-0.20564537243497946,0.38474322654335097,False,98.0,1970,2024
TOV_per36,20,-0.13145598688450064,0.1790978541083715,False,249.0,1970,2024
TOV_per36,21,-0.04764186722387087,0.04764186722387087,False,461.0,1970,2024
TOV_per36,22,-0.10013879583596468,0.0,False,1058.0,1970,2024
TOV_per36,23,-0.016573776041248038,-0.10013879583596468,False,1456.0,1970,2024
TOV_per36,24,-0.1305222278741099,-0.1167125718772127,False,1441.0,1970,2024
TOV_per36,25,-0.01636000382726135,-0.2472347997513226,False,1367.0,1970,2024
TOV_per36,26,0.0345261097801219,-0.26359480357858395,False,1296.0,1970,2024
TOV_per36,27,-0.0981629627194601,-0.22906869379846206,False,1199.0,1970,2024
TOV_per36,28,0.008314944684161841,-0.3272316565179222,False,1086.0,1970,2024
TOV_per36,29,-0.07640269760611296,-0.31891671183376036,False,986.0,1970,2024
TOV_per36,30,-0.023035757322097464,-0.3953194094398733,False,851.0,1970,2024
TOV_per36,31,-0.01442285605929978,-0.41835516676197076,False,707.0,1970,2024
TOV_per36,32,-0.04625910822486908,-0.43277802282127054,False,551.0,1970,2024
TOV_per36,33,-0.014559380646352312,-0.4790371310461396,False,412.0,1970,2024
TOV_per36,34,-0.09534981979732282,-0.4935965116924919,False,302.0,1970,2024
TOV_per36,35,0.14707659142762525,-0.5889463314898147,False,196.0,1970,2024
TOV_per36,36,-0.05458761993323823,-0.44186974006218943,False,128.0,1970,2024
TOV_per36,37,-0.0016822134324009199,-0.49645735999542767,False,81.0,1970,2024
TOV_per36,38,-0.21873284416315864,-0.4981395734278286,False,45.0,1970,2024
TOV_per36,39,-0.06416729142338616,-0.7168724175909873,True,,1970,2024
TOV_per36,40,-0.04491710399637031,-0.7810397090143735,True,,1970,2024
TOV_per36,41,-0.031441972797459215,-0.8259568130107438,True,,1970,2024
TOV_per36,42,-0.02200938095822145,-0.857398785808203,True,,1970,2024
TOV_per36,43,-0.015406566670755012,-0.8794081667664244,True,,1970,2024
TOV_per36,44,-0.010784596669528508,-0.8948147334371794,True,,1970,2024
TOV_per36,45,-0.007549217668669955,-0.9055993301067079,True,,1970,2024
STL_per36,18,-0.1817045324029338,0.3787177803708772,True,,1974,2024
STL_per36,19,-0.14818803601910915,0.19701324796794342,False,101.0,1974,2024
STL_per36,20,-0.016670625676677948,0.04882521194883427,False,254.0,1974,2024
STL_per36,21,-0.032154586272156324,0.032154586272156324,False,478.0,1974,2024
STL_per36,22,0.015524159741260092,0.0,False,1125.0,1974,2024
STL_per36,23,-0.0212511627785232,0.015524159741260092,False,1557.0,1974,2024
STL_per36,24,-0.07370654291412065,-0.005727003037263109,False,1537.0,1974,2024
STL_per36,25,0.01876381337482403,-0.07943354595138376,False,1464.0,1974,2024
STL_per36,26,-0.05615731031853021,-0.06066973257655973,False,1380.0,1974,2024
STL_per36,27,-0.03812135107056981,-0.11682704289508994,False,1270.0,1974,2024
STL_per36,28,-0.008422013201685195,-0.15494839396565974,False,1135.0,1974,2024
STL_per36,29,-0.035015098185413374,-0.16337040716734494,False,1026.0,1974,2024
STL_per36,30,-0.02034042345374817,-0.1983855053527583,False,890.0,1974,2024
STL_per36,31,-0.05060229327931158,-0.2187259288065065,False,739.0,1974,2024
STL_per36,32,-0.04200184753230588,-0.2693282220858181,False,572.0,1974,2024
STL_per36,33,0.012213965009954803,-0.311330069618124,False,424.0,1974,2024
STL_per36,34,-0.014559780183069205,-0.2991161046081692,False,308.0,1974,2024
STL_per36,35,-0.06872932690036661,-0.31367588479123837,False,198.0,1974,2024
STL_per36,36,-0.022212230826928598,-0.38240521169160496,False,130.0,1974,2024
STL_per36,37,0.18729987632975204,-0.40461744251853354,False,81.0,1974,2024
STL_per36,38,-0.18281062731012893,-0.2173175661887815,False,45.0,1974,2024
STL_per36,39,-0.004135362421704616,-0.40012819349891043,True,,1974,2024
STL_per36,40,-0.002894753695193231,-0.404263555920615,True,,1974,2024
STL_per36,41,-0.0020263275866352617,-0.40715830961580823,True,,1974,2024
STL_per36,42,-0.001418429310644683,-0.40918463720244347,True,,1974,2024
STL_per36,43,-0.0009929005174512781,-0.41060306651308814,True,,1974,2024
STL_per36,44,-0.0006950303622158947,-0.4115959670305394,True,,1974,2024
STL_per36,45,-0.00048652125355112623,-0.4122909973927553,True,,1974,2024
BLK_per36,18,0.00023336655642514775,0.04974957773157832,True,,1976,2024
BLK_per36,19,-0.009303739747161493,0.04998294428800347,False,100.0,1976,2024
BLK_per36,20,-0.014481116807920861,0.04067920454084198,False,253.0,1976,2024
BLK_per36,21,-0.02619808773292112,0.02619808773292112,False,473.0,1976,2024
BLK_per36,22,0.002378092265689338,0.0,False,1096.0,1976,2024
BLK_per36,23,-0.03555994190160202,0.002378092265689338,False,1504.0,1976,2024
BLK_per36,24,-0.038674053828522376,-0.03318184963591268,False,1494.0,1976,2024
BLK_per36,25,-0.06181079656663264,-0.07185590346443506,False,1418.0,1976,2024
BLK_per36,26,-0.04881194701159473,-0.1336667000310677,False,1335.0,1976,2024
BLK_per36,27,-0.05071616144172373,-0.18247864704266242,False,1244.0,1976,2024
BLK_per36,28,-0.04867924983476682,-0.23319480848438615,False,1119.0,1976,2024
BLK_per36,29,-0.024381763413166814,-0.28187405831915296,False,1003.0,1976,2024
BLK_per36,30,-0.027260764568564532,-0.3062558217323198,False,866.0,1976,2024
BLK_per36,31,-0.04770188880891368,-0.3335165863008843,False,721.0,1976,2024
BLK_per36,32,0.014395847788623035,-0.381218475109798,False,562.0,1976,2024
BLK_per36,33,-0.03300789379965906,-0.366822627321175,False,417.0,1976,2024
BLK_per36,34,0.031226570598790325,-0.39983052112083406,False,303.0,1976,2024
BLK_per36,35,-0.03285177584670532,-0.36860395052204376,False,197.0,1976,2024
BLK_per36,36,-0.0667544229578803,-0.40145572636874904,False,129.0,1976,2024
BLK_per36,37,-0.11412458307764514,-0.46821014932662935,False,81.0,1976,2024
BLK_per36,38,-0.1463837422005942,-0.5823347324042745,False,45.0,1976,2024
BLK_per36,39,-0.07636130792176124,-0.7287184746048687,True,,1976,2024
BLK_per36,40,-0.05345291554523286,-0.8050797825266299,True,,1976,2024
BLK_per36,41,-0.037417040881663,-0.8585326980718628,True,,1976,2024
BLK_per36,42,-0.026191928617164097,-0.8959497389535258,True,,1976,2024
BLK_per36,43,-0.018334350032014866,-0.9221416675706899,True,,1976,2024
BLK_per36,44,-0.012834045022410406,-0.9404760176027048,True,,1976,2024
BLK_per36,45,-0.008983831515687284,-0.9533100626251152,True,,1976,2024
PTS_per36,18,-0.06995432978477027,-0.2667018648100168,True,,1977,2024
PTS_per36,19,-0.026148279895294495,-0.3366561945947871,False,99.0,1977,2024
PTS_per36,20,0.20677969306900976,-0.3628044744900816,False,251.0,1977,2024
PTS_per36,21,0.15602478142107185,-0.15602478142107185,False,469.0,1977,2024
PTS_per36,22,0.06696989056520468,0.0,False,1075.0,1977,2024
PTS_per36,23,-0.01714599306462034,0.06696989056520468,False,1486.0,1977,2024
PTS_per36,24,0.01780172382866864,0.049823897500584344,False,1470.0,1977,2024
PTS_per36,25,-0.05304454535257385,0.06762562132925298,False,1396.0,1977,2024
PTS_per36,26,-0.09196168451397418,0.014581075976679132,False,1320.0,1977,2024
PTS_per36,27,-0.1086153793870533,-0.07738060853729506,False,1220.0,1977,2024
PTS_per36,28,-0.10338493406991153,-0.18599598792434835,False,1109.0,1977,2024
PTS_per36,29,-0.16347436517498,-0.2893809219942599,False,998.0,1977,2024
PTS_per36,30,-0.21401499604498217,-0.45285528716923995,False,859.0,1977,2024
PTS_per36,31,-0.12005063745297889,-0.6668702832142221,False,712.0,1977,2024
PTS_per36,32,-0.2567856209829635,-0.786920920667201,False,557.0,1977,2024
PTS_per36,33,-0.2095279864367737,-1.0437065416501645,False,415.0,1977,2024
PTS_per36,34,-0.1940984267921615,-1.2532345280869381,False,302.0,1977,2024
PTS_per36,35,-0.16653897960554823,-1.4473329548790996,False,196.0,1977,2024
PTS_per36,36,-0.23613047653025257,-1.613871934484648,False,129.0,1977,2024
PTS_per36,37,-0.192595701743789,-1.8500024110149005,False,81.0,1977,2024
PTS_per36,38,-0.2546345355078822,-2.0425981127586894,False,45.0,1977,2024
PTS_per36,39,-0.15945083321578218,-2.2972326482665717,True,,1977,2024
PTS_per36,40,-0.11161558325104752,-2.456683481482354,True,,1977,2024
PTS_per36,41,-0.07813090827573325,-2.5682990647334014,True,,1977,2024
PTS_per36,42,-0.054691635793013275,-2.6464299730091345,True,,1977,2024
PTS_per36,43,-0.03828414505510929,-2.701121608802148,True,,1977,2024
PTS_per36,44,-0.026798901538576503,-2.739405753857257,True,,1977,2024
PTS_per36,45,-0.01875923107700355,-2.7662046553958337,True,,1977,2024
