personId,PlayerName,season_year,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SeasonStart,Age
201147,Corey Brewer,2017-18,72,1208.5333333333333,142,316,31,110,65,90,43,111,154,65,79,14,49,139,380,2018,31
201147,Corey Brewer,2018-19,31,491.56666666666666,53,123,14,44,31,43,26,50,76,39,32,7,19,63,151,2019,32
201147,Corey Brewer,2019-20,5,32.550000000000004,2,4,0,1,1,3,2,6,8,2,4,0,2,7,5,2020,33
201148,Brandan Wright,2017-18,28,380.8666666666667,59,102,0,0,21,33,33,62,95,13,13,26,8,32,139,2018,30
201149,Joakim Noah,2017-18,7,40.15,5,10,0,0,2,4,6,8,14,4,2,2,4,5,12,2018,32
201149,Joakim Noah,2018-19,42,692.5333333333333,110,213,0,1,78,109,58,180,238,89,20,31,50,96,298,2019,33
201149,Joakim Noah,2019-20,5,50.16666666666667,4,8,0,0,6,8,5,11,16,7,1,1,6,9,14,2020,34
201152,Thaddeus Young,2017-18,81,2607.1,421,864,58,181,55,92,184,328,512,152,135,36,105,175,955,2018,29
201152,Thaddeus Young,2018-19,81,2488.9,443,841,51,146,87,135,192,331,523,204,123,36,123,194,1024,2019,30
201152,Thaddeus Young,2019-20,64,1590.65,269,601,79,222,42,72,94,221,315,117,92,23,102,134,659,2020,31
201152,Thaddeus Young,2020-21,68,1652.2166666666667,370,662,12,45,71,113,168,255,423,291,74,40,137,152,823,2021,32
201152,Thaddeus Young,2021-22,52,845.2166666666667,141,272,17,48,23,49,80,128,208,104,54,18,52,81,322,2022,33
201152,Thaddeus Young,2022-23,54,795.4833333333333,108,198,6,34,18,26,71,95,166,75,54,5,42,88,240,2023,34
201152,Thaddeus Young,2023-24,33,439.51666666666665,65,108,1,7,6,15,46,57,103,57,23,5,15,49,137,2024,35
201156,Nick Young,2017-18,80,1393.1833333333334,201,488,123,326,56,65,20,105,125,36,38,7,39,100,581,2018,32
201156,Nick Young,2018-19,4,37.13333333333333,3,9,3,8,0,0,0,1,1,2,0,1,2,4,9,2019,33
201158,Marco Belinelli,2017-18,80,1946.7166666666667,337,764,149,395,148,163,20,131,151,148,66,12,94,91,971,2018,31
201158,Marco Belinelli,2018-19,79,1815.3666666666666,285,690,147,395,112,124,16,182,198,132,35,8,72,121,829,2019,32
201158,Marco Belinelli,2019-20,57,883.4166666666666,123,314,67,178,48,58,7,92,99,69,12,1,19,45,361,2020,33
201160,Jason Smith,2017-18,33,284.75,45,115,4,32,19,21,18,35,53,14,3,13,16,44,113,2018,31
201160,Jason Smith,2018-19,20,190.51666666666668,21,59,9,26,14,16,16,36,52,14,3,7,13,30,65,2019,32
201162,Jared Dudley,2017-18,48,686.5,48,122,29,80,27,35,8,86,94,78,24,11,28,85,152,2018,32
201162,Jared Dudley,2018-19,59,1219.65,101,239,53,151,32,46,34,121,155,83,36,16,43,131,287,2019,33
201162,Jared Dudley,2019-20,45,363.56666666666666,24,60,18,42,2,2,6,46,52,28,15,3,8,41,68,2020,34
201162,Jared Dudley,2020-21,12,80.65,2,9,2,6,0,0,4,17,21,5,1,1,2,7,6,2021,35
201163,Wilson Chandler,2017-18,74,2346.2999999999997,281,631,88,246,88,114,102,296,398,159,43,39,92,156,738,2018,30
201163,Wilson Chandler,2018-19,51,1176.3166666666666,114,273,59,158,18,25,48,167,215,82,25,21,46,123,305,2019,31
201163,Wilson Chandler,2019-20,35,734.0833333333334,74,183,37,121,20,23,11,134,145,39,16,12,34,79,205,2020,32
201166,Aaron Brooks,2017-18,32,189.39999999999998,28,69,11,31,8,11,7,10,17,20,6,0,11,28,75,2018,33
201167,Arron Afflalo,2017-18,53,681.5833333333334,65,162,27,70,22,26,4,62,66,30,4,9,21,56,179,2018,32
