Kemba Walker,26,Charlotte Hornets,42767
Kenneth Faried,27,Denver Nuggets,42767
Kent Bazemore,27,Atlanta Hawks,42767
Kentavious Caldwell-Pope,23,Detroit Pistons,42767
Kevin Durant,28,Golden State Warriors,42767
Kevin Love,28,Cleveland Cavaliers,42767
Kevin Séraphin,27,Indiana Pacers,42767
Kevon Looney,20,Golden State Warriors,42767
Khris Middleton,25,Milwaukee Bucks,42767
Klay Thompson,26,Golden State Warriors,42767
Kosta Koufos,27,Sacramento Kings,42767
Kris Dunn,22,Minnesota Timberwolves,42767
Kris Humphries,31,Atlanta Hawks,42767
Kristaps Porziņģis,21,New York Knicks,42767
Kyle Anderson,23,San Antonio Spurs,42767
Kyle Korver,35,Cleveland Cavaliers,42767
Kyle Korver,35,Atlanta Hawks,42767
Kyle Lowry,30,Toronto Raptors,42767
Kyle O'Quinn,26,New York Knicks,42767
Kyle Singler,28,Oklahoma City Thunder,42767
Kyle Wiltjer,24,Houston Rockets,42767
Kyrie Irving,24,Cleveland Cavaliers,42767
Lamar Patterson,25,Atlanta Hawks,42767
LaMarcus Aldridge,31,San Antonio Spurs,42767
Lance Stephenson,26,New Orleans Pelicans,42767
Lance Stephenson,26,Indiana Pacers,42767
Lance Stephenson,26,Minnesota Timberwolves,42767
Lance Thomas,28,New York Knicks,42767
Langston Galloway,25,New Orleans Pelicans,42767
Langston Galloway,25,Sacramento Kings,42767
Larry Nance Jr.,24,Los Angeles Lakers,42767
Larry Sanders,28,Cleveland Cavaliers,42767
Lavoy Allen,27,Indiana Pacers,42767
Leandro Barbosa,34,Phoenix Suns,42767
LeBron James,32,Cleveland Cavaliers,42767
Lou Williams,30,Los Angeles Lakers,42767
Lou Williams,30,Houston Rockets,42767
Luc Mbah a Moute,30,Los Angeles Clippers,42767
Lucas Nogueira,24,Toronto Raptors,42767
Luis Scola,36,Brooklyn Nets,42767
Luke Babbitt,27,Miami Heat,42767
Luol Deng,31,Los Angeles Lakers,42767
Malachi Richardson,21,Sacramento Kings,42767
Malcolm Brogdon,24,Milwaukee Bucks,42767
Malcolm Delaney,27,Atlanta Hawks,42767
Malik Beasley,20,Denver Nuggets,42767
Manny Harris,27,Dallas Mavericks,42767
Manu Ginóbili,39,San Antonio Spurs,42767
Marc Gasol,32,Memphis Grizzlies,42767
Marcelo Huertas,33,Los Angeles Lakers,42767
Marcin Gortat,32,Washington Wizards,42767
Marco Belinelli,30,Charlotte Hornets,42767
Marcus Georges-Hunt,22,Orlando Magic,42767
Marcus Morris,27,Detroit Pistons,42767
Marcus Smart,22,Boston Celtics,42767
Marcus Thornton,29,Washington Wizards,42767
Mario Hezonja,21,Orlando Magic,42767
Markieff Morris,27,Washington Wizards,42767
Marquese Chriss,19,Phoenix Suns,42767
Marreese Speights,29,Los Angeles Clippers,42767
Marshall Plumlee,24,New York Knicks,42767
Marvin Williams,30,Charlotte Hornets,42767
Mason Plumlee,26,Portland Trail Blazers,42767
Mason Plumlee,26,Denver Nuggets,42767
Matt Barnes,36,Sacramento Kings,42767
Matt Barnes,36,Golden State Warriors,42767
Matthew Dellavedova,26,Milwaukee Bucks,42767
Maurice Harkless,23,Portland Trail Blazers,42767
Maurice Ndour,24,New York Knicks,42767
Metta World Peace,37,Los Angeles Lakers,42767
Meyers Leonard,24,Portland Trail Blazers,42767
Michael Beasley,28,Milwaukee Bucks,42767
Michael Carter-Williams,25,Chicago Bulls,42767
Michael Gbinije,24,Detroit Pistons,42767
Michael Kidd-Gilchrist,23,Charlotte Hornets,42767
Mike Conley,29,Memphis Grizzlies,42767
Mike Dunleavy Jr.,36,Atlanta Hawks,42767
Mike Dunleavy Jr.,36,Cleveland Cavaliers,42767
Mike Miller,36,Denver Nuggets,42767
Mike Muscala,25,Atlanta Hawks,42767
Mike Scott,28,Atlanta Hawks,42767
Mike Tobey,22,Charlotte Hornets,42767
Miles Plumlee,28,Milwaukee Bucks,42767
Miles Plumlee,28,Charlotte Hornets,42767
Mindaugas Kuzminskas,27,New York Knicks,42767
Mirza Teletović,31,Milwaukee Bucks,42767
Monta Ellis,31,Indiana Pacers,42767
Montrezl Harrell,23,Houston Rockets,42767
Myles Turner,20,Indiana Pacers,42767
Nemanja Bjelica,28,Minnesota Timberwolves,42767
Nenê,34,Houston Rockets,42767
Nerlens Noel,22,Philadelphia 76ers,42767
Nerlens Noel,22,Dallas Mavericks,42767
Nick Collison,36,Oklahoma City Thunder,42767
Nick Young,31,Los Angeles Lakers,42767
Nicolas Batum,28,Charlotte Hornets,42767
Nicolás Brussino,23,Dallas Mavericks,42767
Nicolás Laprovíttola,27,San Antonio Spurs,42767
Nik Stauskas,23,Philadelphia 76ers,42767
Nikola Jokić,21,Denver Nuggets,42767
Nikola Mirotić,25,Chicago Bulls,42767
Nikola Vučević,26,Orlando Magic,42767
Noah Vonleh,21,Portland Trail Blazers,42767
