--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
79,79,BOS,Pete Kelley,West Virginia Tech,,,,,,,,,,,,,,,,,
80,80,NYK,Jim Christy,Georgetown,,,,,,,,,,,,,,,,,
81,81,BAL,Bill Kusleika,Tulsa,,,,,,,,,,,,,,,,,
82,82,PHI,Wally Briggs,North Carolina A&T,,,,,,,,,,,,,,,,,
83,83,STL,Frank Stephens,Virginia State University,,,,,,,,,,,,,,,,,
84,84,SFW,Jeff Cotwright,Chapman University,,,,,,,,,,,,,,,,,
85,85,CIN,Bob Neumann,Memphis,,,,,,,,,,,,,,,,,
86,86,BOS,Duane Corriveau,Clark University,,,,,,,,,,,,,,,,,
87,87,NYK,Dennis Lynch,Yale,,,,,,,,,,,,,,,,,
88,88,BAL,Fred Glover,Winston-Salem State,,,,,,,,,,,,,,,,,
89,89,PHI,Thomas Lowry,West Virginia,,,,,,,,,,,,,,,,,
90,90,STL,Gerald Govan,Saint Mary of the Plains College,,,,,,,,,,,,,,,,,
91,91,CIN,Jim Reynolds,Abilene Christian University,,,,,,,,,,,,,,,,,
92,92,BAL,Frank Kamiaski,Randolph-Macon College,,,,,,,,,,,,,,,,,
93,93,PHI,Julius Myers,Morris Brown College,,,,,,,,,,,,,,,,,
94,94,STL,Warren Sutton,Sir George Williams University,,,,,,,,,,,,,,,,,
95,95,CIN,Fred Jones,Youngstown State University,,,,,,,,,,,,,,,,,
96,96,BAL,Doug Moon,Utah,,,,,,,,,,,,,,,,,
97,97,STL,Cecil Tuttle,Georgetown College,,,,,,,,,,,,,,,,,
98,98,BAL,Pete Gent,Michigan State,,,,,,,,,,,,,,,,,
99,99,STL,Bill Blair,Virginia Military Institute,,,,,,,,,,,,,,,,,
100,100,BAL,Sandy Williams,Saint Francis University,,,,,,,,,,,,,,,,,
101,101,STL,Al Cech,Detroit Mercy,,,,,,,,,,,,,,,,,
